Office of Occupational Statistics and Employment Projections,,,,,,,,,
As of 8/29/2024,,,,,,,,,
O*NET-SOC and National Employment Matrix (NEM) equivalents with Occupational Outlook Handbook coverage,,,,,,,,,
Sort Order,O*NET-SOC Code,O*NET-SOC Title,NEM Code,National Employment Matrix Occupational Title,OOH Profile Code,OOH Profile Title,OOH Occupation Group,OOH Occupation Group (brief),OOH Profile Website
32,11-9032.00,"Education Administrators, Kindergarten through Secondary",Nov-32,"Education administrators, kindergarten through secondary",B030,"Elementary, middle, and high school principals",Management,Management,https://www.bls.gov/OOH/management/elementary-middle-and-high-school-principals.htm
33,11-9033.00,"Education Administrators, Postsecondary",Nov-33,"Education administrators, postsecondary",B031,Postsecondary education administrators,Management,Management,https://www.bls.gov/OOH/management/postsecondary-education-administrators.htm
34,11-9039.00,"Education Administrators, All Other",Nov-39,"Education administrators, all other",—,—,—,—,—
35,11-9041.00,Architectural and Engineering Managers,Nov-41,Architectural and engineering managers,B032,Architectural and engineering managers,Management,Management,https://www.bls.gov/OOH/management/architectural-and-engineering-managers.htm
36,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Nov-41,Architectural and engineering managers,B032,Architectural and engineering managers,Management,Management,https://www.bls.gov/OOH/management/architectural-and-engineering-managers.htm
37,11-9051.00,Food Service Managers,Nov-51,Food service managers,B033,Food service managers,Management,Management,https://www.bls.gov/OOH/management/food-service-managers.htm
38,11-9071.00,Gambling Managers,Nov-71,Gambling managers,B228,Gambling services workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/gaming-services-occupations.htm
39,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Nov-72,"Entertainment and recreation managers, except gambling",B401,Entertainment and recreation managers,Management,Management,https://www.bls.gov/OOH/management/entertainment-and-recreation-managers.htm
40,11-9081.00,Lodging Managers,Nov-81,Lodging managers,B034,Lodging managers,Management,Management,https://www.bls.gov/OOH/management/lodging-managers.htm
41,11-9111.00,Medical and Health Services Managers,Nov-11,Medical and health services managers,B035,Medical and health services managers,Management,Management,https://www.bls.gov/OOH/management/medical-and-health-services-managers.htm
42,11-9121.00,Natural Sciences Managers,Nov-21,Natural sciences managers,B036,Natural sciences managers,Management,Management,https://www.bls.gov/OOH/management/natural-sciences-managers.htm
43,11-9121.01,Clinical Research Coordinators,Nov-21,Natural sciences managers,B036,Natural sciences managers,Management,Management,https://www.bls.gov/OOH/management/natural-sciences-managers.htm
44,11-9121.02,Water Resource Specialists,Nov-21,Natural sciences managers,B036,Natural sciences managers,Management,Management,https://www.bls.gov/OOH/management/natural-sciences-managers.htm
45,11-9131.00,Postmasters and Mail Superintendents,Nov-31,Postmasters and mail superintendents,—,—,—,—,—
46,11-9141.00,"Property, Real Estate, and Community Association Managers",Nov-41,"Property, real estate, and community association managers",B037,"Property, real estate, and community association managers",Management,Management,https://www.bls.gov/OOH/management/property-real-estate-and-community-association-managers.htm
47,11-9151.00,Social and Community Service Managers,Nov-51,Social and community service managers,B038,Social and community service managers,Management,Management,https://www.bls.gov/OOH/management/social-and-community-service-managers.htm
48,11-9161.00,Emergency Management Directors,Nov-61,Emergency management directors,B040,Emergency management directors,Management,Management,https://www.bls.gov/OOH/management/emergency-management-directors.htm
49,11-9171.00,Funeral Home Managers,Nov-71,Funeral home managers,B001,Funeral service workers,Personal-Care-and-Service,Personal Care and Service,https://www.bls.gov/OOH/personal-care-and-service/funeral-service-occupations.htm
50,11-9179.00,"Personal Service Managers, All Other",Nov-79,"Personal service managers, all other",—,—,—,—,—
51,11-9179.01,Fitness and Wellness Coordinators,Nov-79,"Personal service managers, all other",—,—,—,—,—
52,11-9179.02,Spa Managers,Nov-79,"Personal service managers, all other",—,—,—,—,—
53,11-9199.00,"Managers, All Other",Nov-99,"Managers, all other",—,—,—,—,—
54,11-9199.01,Regulatory Affairs Managers,Nov-99,"Managers, all other",—,—,—,—,—
55,11-9199.02,Compliance Managers,Nov-99,"Managers, all other",—,—,—,—,—
56,11-9199.08,Loss Prevention Managers,Nov-99,"Managers, all other",—,—,—,—,—
57,11-9199.09,Wind Energy Operations Managers,Nov-99,"Managers, all other",—,—,—,—,—
58,11-9199.10,Wind Energy Development Managers,Nov-99,"Managers, all other",—,—,—,—,—
59,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Nov-99,"Managers, all other",—,—,—,—,—
60,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and business managers of artists, performers, and athletes",—,—,—,—,—
61,13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
62,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
63,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm
64,13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims adjusters, examiners, and investigators",B042,"Claims adjusters, appraisers, examiners, and investigators",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
65,13-1032.00,"Insurance Appraisers, Auto Damage",13-1032,"Insurance appraisers, auto damage",B042,"Claims adjusters, appraisers, examiners, and investigators",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm
66,13-1041.00,Compliance Officers,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
67,13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
68,13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
69,13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
70,13-1041.06,Coroners,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
71,13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
72,13-1041.08,Customs Brokers,13-1041,Compliance officers,B405,Compliance officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compliance-officers.htm
73,13-1051.00,Cost Estimators,13-1051,Cost estimators,B043,Cost estimators,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/cost-estimators.htm
74,13-1071.00,Human Resources Specialists,13-1071,Human resources specialists,B041,Human resources specialists,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/human-resources-specialists.htm
75,13-1074.00,Farm Labor Contractors,13-1074,Farm labor contractors,—,—,—,—,—
76,13-1075.00,Labor Relations Specialists,13-1075,Labor relations specialists,B394,Labor relations specialists,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/labor-relations-specialists.htm
77,13-1081.00,Logisticians,13-1081,Logisticians,B329,Logisticians,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/logisticians.htm
78,13-1081.01,Logistics Engineers,13-1081,Logisticians,B329,Logisticians,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/logisticians.htm
79,13-1081.02,Logistics Analysts,13-1081,Logisticians,B329,Logisticians,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/logisticians.htm
80,13-1082.00,Project Management Specialists,13-1082,Project management specialists,B396,Project management specialists,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/project-management-specialists.htm
81,13-1111.00,Management Analysts,13-1111,Management analysts,B045,Management analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/management-analysts.htm
82,13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, convention, and event planners",B046,"Meeting, convention, and event planners",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/meeting-convention-and-event-planners.htm
83,13-1131.00,Fundraisers,13-1131,Fundraisers,B393,Fundraisers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/fundraisers.htm
84,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, benefits, and job analysis specialists",B050,"Compensation, benefits, and job analysis specialists",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm
85,13-1151.00,Training and Development Specialists,13-1151,Training and development specialists,B091,Training and development specialists,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/training-and-development-specialists.htm
86,13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market research analysts and marketing specialists,B103,Market research analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/market-research-analysts.htm
87,13-1161.01,Search Marketing Strategists,13-1161,Market research analysts and marketing specialists,B103,Market research analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/market-research-analysts.htm
88,13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business operations specialists, all other",—,—,—,—,—
89,13-1199.04,Business Continuity Planners,13-1199,"Business operations specialists, all other",—,—,—,—,—
90,13-1199.05,Sustainability Specialists,13-1199,"Business operations specialists, all other",—,—,—,—,—
91,13-1199.06,Online Merchants,13-1199,"Business operations specialists, all other",—,—,—,—,—
92,13-1199.07,Security Management Specialists,13-1199,"Business operations specialists, all other",—,—,—,—,—
93,13-2011.00,Accountants and Auditors,13-2011,Accountants and auditors,B047,Accountants and auditors,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/accountants-and-auditors.htm
94,13-2022.00,Appraisers of Personal and Business Property,13-2020,Property appraisers and assessors,B048,Property appraisers and assessors,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/appraisers-and-assessors-of-real-estate.htm
95,13-2023.00,Appraisers and Assessors of Real Estate,13-2020,Property appraisers and assessors,B048,Property appraisers and assessors,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/appraisers-and-assessors-of-real-estate.htm
96,13-2031.00,Budget Analysts,13-2031,Budget analysts,B049,Budget analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/budget-analysts.htm
97,13-2041.00,Credit Analysts,13-2041,Credit analysts,—,—,—,—,—
98,13-2051.00,Financial and Investment Analysts,13-2051,Financial and investment analysts,B051,Financial analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/financial-analysts.htm
99,13-2052.00,Personal Financial Advisors,13-2052,Personal financial advisors,B052,Personal financial advisors,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/personal-financial-advisors.htm
100,13-2053.00,Insurance Underwriters,13-2053,Insurance underwriters,B002,Insurance underwriters,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/insurance-underwriters.htm
101,13-2054.00,Financial Risk Specialists,13-2054,Financial risk specialists,B051,Financial analysts,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/financial-analysts.htm
102,13-2061.00,Financial Examiners,13-2061,Financial examiners,B053,Financial examiners,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/financial-examiners.htm
103,13-2071.00,Credit Counselors,13-2071,Credit counselors,B406,Credit counselors,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/credit-counselors.htm
104,13-2072.00,Loan Officers,13-2072,Loan officers,B054,Loan officers,Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/loan-officers.htm
105,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax examiners and collectors, and revenue agents",B055,"Tax examiners and collectors, and revenue agents",Business-and-Financial,Business,https://www.bls.gov/OOH/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm
106,13-2082.00,Tax Preparers,13-2082,Tax preparers,—,—,—,—,—
107,13-2099.00,"Financial Specialists, All Other",13-2099,"Financial specialists, all other",—,—,—,—,—
108,13-2099.01,Financial Quantitative Analysts,13-2099,"Financial specialists, all other",—,—,—,—,—
109,13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099,"Financial specialists, all other",—,—,—,—,—
110,15-1211.00,Computer Systems Analysts,15-1211,Computer systems analysts,B059,Computer systems analysts,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-systems-analysts.htm
111,15-1211.01,Health Informatics Specialists,15-1211,Computer systems analysts,B059,Computer systems analysts,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-systems-analysts.htm
112,15-1212.00,Information Security Analysts,15-1212,Information security analysts,B062,Information security analysts,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/information-security-analysts.htm
113,15-1221.00,Computer and Information Research Scientists,15-1221,Computer and information research scientists,B003,Computer and information research scientists,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-and-information-research-scientists.htm
114,15-1231.00,Computer Network Support Specialists,15-1231,Computer network support specialists,B058,Computer support specialists,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-support-specialists.htm
115,15-1232.00,Computer User Support Specialists,15-1232,Computer user support specialists,B058,Computer support specialists,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-support-specialists.htm
116,15-1241.00,Computer Network Architects,15-1241,Computer network architects,B118,Computer network architects,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-network-architects.htm
117,15-1241.01,Telecommunications Engineering Specialists,15-1241,Computer network architects,B118,Computer network architects,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-network-architects.htm
118,15-1242.00,Database Administrators,15-1242,Database administrators,B060,Database administrators and architects,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/database-administrators.htm
119,15-1243.00,Database Architects,15-1243,Database architects,B060,Database administrators and architects,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/database-administrators.htm
120,15-1243.01,Data Warehousing Specialists,15-1243,Database architects,B060,Database administrators and architects,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/database-administrators.htm
121,15-1244.00,Network and Computer Systems Administrators,15-1244,Network and computer systems administrators,B061,Network and computer systems administrators,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/network-and-computer-systems-administrators.htm
122,15-1251.00,Computer Programmers,15-1251,Computer programmers,B056,Computer programmers,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/computer-programmers.htm
123,15-1252.00,Software Developers,15-1252,Software developers,B057,"Software developers, quality assurance analysts, and testers",Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/software-developers.htm
124,15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software quality assurance analysts and testers,B057,"Software developers, quality assurance analysts, and testers",Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/software-developers.htm
125,15-1254.00,Web Developers,15-1254,Web developers,B092,Web developers and digital designers,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/web-developers.htm
126,15-1255.00,Web and Digital Interface Designers,15-1255,Web and digital interface designers,B092,Web developers and digital designers,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/web-developers.htm
127,15-1255.01,Video Game Designers,15-1255,Web and digital interface designers,B092,Web developers and digital designers,Computer-and-Information-Technology,Computer and Information Technology,https://www.bls.gov/OOH/computer-and-information-technology/web-developers.htm
128,15-1299.00,"Computer Occupations, All Other",15-1299,"Computer occupations, all other",—,—,—,—,—
129,15-1299.01,Web Administrators,15-1299,"Computer occupations, all other",—,—,—,—,—
130,15-1299.02,Geographic Information Systems Technologists and Technicians,15-1299,"Computer occupations, all other",—,—,—,—,—
131,15-1299.03,Document Management Specialists,15-1299,"Computer occupations, all other",—,—,—,—,—
132,15-1299.04,Penetration Testers,15-1299,"Computer occupations, all other",—,—,—,—,—
133,15-1299.05,Information Security Engineers,15-1299,"Computer occupations, all other",—,—,—,—,—
134,15-1299.06,Digital Forensics Analysts,15-1299,"Computer occupations, all other",—,—,—,—,—
135,15-1299.07,Blockchain Engineers,15-1299,"Computer occupations, all other",—,—,—,—,—
136,15-1299.08,Computer Systems Engineers/Architects,15-1299,"Computer occupations, all other",—,—,—,—,—
137,15-1299.09,Information Technology Project Managers,15-1299,"Computer occupations, all other",—,—,—,—,—
138,15-2011.00,Actuaries,15-2011,Actuaries,B063,Actuaries,Math,Math,https://www.bls.gov/OOH/math/actuaries.htm
139,15-2021.00,Mathematicians,15-2021,Mathematicians,B004,Mathematicians and statisticians,Math,Math,https://www.bls.gov/OOH/math/mathematicians-and-statisticians.htm
140,15-2031.00,Operations Research Analysts,15-2031,Operations research analysts,B064,Operations research analysts,Math,Math,https://www.bls.gov/OOH/math/operations-research-analysts.htm
141,15-2041.00,Statisticians,15-2041,Statisticians,B004,Mathematicians and statisticians,Math,Math,https://www.bls.gov/OOH/math/mathematicians-and-statisticians.htm
142,15-2041.01,Biostatisticians,15-2041,Statisticians,B004,Mathematicians and statisticians,Math,Math,https://www.bls.gov/OOH/math/mathematicians-and-statisticians.htm
143,15-2051.00,Data Scientists,15-2051,Data scientists,B397,Data scientists,Math,Math,https://www.bls.gov/OOH/math/data-scientists.htm
144,15-2051.01,Business Intelligence Analysts,15-2051,Data scientists,B397,Data scientists,Math,Math,https://www.bls.gov/OOH/math/data-scientists.htm
145,15-2051.02,Clinical Data Managers,15-2051,Data scientists,B397,Data scientists,Math,Math,https://www.bls.gov/OOH/math/data-scientists.htm
146,15-2099.00,"Mathematical Science Occupations, All Other",15-2099,"Mathematical science occupations, all other",—,—,—,—,—
147,15-2099.01,Bioinformatics Technicians,15-2099,"Mathematical science occupations, all other",—,—,—,—,—
148,17-1011.00,"Architects, Except Landscape and Naval",17-1011,"Architects, except landscape and naval",B066,Architects,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/architects.htm
149,17-1012.00,Landscape Architects,17-1012,Landscape architects,B067,Landscape architects,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/landscape-architects.htm
150,17-1021.00,Cartographers and Photogrammetrists,17-1021,Cartographers and photogrammetrists,B068,Cartographers and photogrammetrists,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/cartographers-and-photogrammetrists.htm
151,17-1022.00,Surveyors,17-1022,Surveyors,B069,Surveyors,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/surveyors.htm
152,17-1022.01,Geodetic Surveyors,17-1022,Surveyors,B069,Surveyors,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/surveyors.htm
153,17-2011.00,Aerospace Engineers,17-2011,Aerospace engineers,B070,Aerospace engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/aerospace-engineers.htm
154,17-2021.00,Agricultural Engineers,17-2021,Agricultural engineers,B332,Agricultural engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/agricultural-engineers.htm
155,17-2031.00,Bioengineers and Biomedical Engineers,17-2031,Bioengineers and biomedical engineers,B071,Bioengineers and biomedical engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/biomedical-engineers.htm
156,17-2041.00,Chemical Engineers,17-2041,Chemical engineers,B072,Chemical engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/chemical-engineers.htm
157,17-2051.00,Civil Engineers,17-2051,Civil engineers,B073,Civil engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/civil-engineers.htm
158,17-2051.01,Transportation Engineers,17-2051,Civil engineers,B073,Civil engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/civil-engineers.htm
159,17-2051.02,Water/Wastewater Engineers,17-2051,Civil engineers,B073,Civil engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/civil-engineers.htm
160,17-2061.00,Computer Hardware Engineers,17-2061,Computer hardware engineers,B074,Computer hardware engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/computer-hardware-engineers.htm
161,17-2071.00,Electrical Engineers,17-2071,Electrical engineers,B075,Electrical and electronics engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/electrical-and-electronics-engineers.htm
162,17-2072.00,"Electronics Engineers, Except Computer",17-2072,"Electronics engineers, except computer",B075,Electrical and electronics engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/electrical-and-electronics-engineers.htm
163,17-2072.01,Radio Frequency Identification Device Specialists,17-2072,"Electronics engineers, except computer",B075,Electrical and electronics engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/electrical-and-electronics-engineers.htm
164,17-2081.00,Environmental Engineers,17-2081,Environmental engineers,B076,Environmental engineers,Architecture-and-Engineering,Architecture and Engineering,https://www.bls.gov/OOH/architecture-and-engineering/environmental-engineers.htm
